CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIN1;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;3239;0;2;18
CLIN2;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;SI;No;NO;1541;7187;2;53
CLIN3;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lerida;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;4;21
CLIN4;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Santa Cruz de Tenerife;SI;NO;SI;Alto;NO DATA;No;NO;2036;0;3;21
CLIN5;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Asturias;SI;NO;NO;Medio;SI;Averia leve;NO;2257;11293;2;56
CLIN6;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;SI;2257;0;1;24
CLIN7;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;No;NO;1747;754;2;51
CLIN8;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;NO;NO;NO;Alto;SI;No;NO;1541;12177;1;44
CLIN9;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;21
CLIN10;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;1;18
CLIN11;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Castellon;SI;NO;NO;Alto;SI;Averia muy grave;SI;3239;10806;1;46
CLIN12;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Las Palmas;NO;NO;NO;Medio;NO DATA;Averia leve;NO;3400;0;1;31
CLIN13;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;SI;No;NO;2905;6684;2;45
CLIN14;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1541;0;1;21
CLIN15;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;5286;15105;1;49
CLIN16;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;NA;NO DATA;Averia muy grave;SI;2905;0;2;26
CLIN17;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Cordoba;NO;NO;SI;Medio-Bajo;NO DATA;Averia leve;NO;2429;0;1;29
CLIN18;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia grave;NO;5286;11844;2;60
