CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
0,0,0,0,1,1,0,0,1,1,4,1,0,0,3,0,2,1,2.08,2892,0,0,18
11111,0,0,0,1,1,0,0,0,1,47,0,0,0,3,1,3,0,2.45,1376,7187,0,53
22222,0,0,0,1,1,3,0,1,1,30,0,0,0,2,0,3,0,2.51,1376,0,1,21
33333,0,0,0,1,1,2,0,0,1,32,1,0,0,2,1,2,1,2.43,2015,7256,1,48
44444,0,0,0,1,1,2,0,0,2,41,1,0,1,0,0,3,0,2.3,1818,0,1,21
53604,0,0,0,1,1,2,0,0,1,4,1,0,0,2,1,1,0,2.43,2015,11293,0,56
54715,0,0,0,1,1,2,0,1,1,32,1,0,0,2,0,3,1,2.48,2015,0,0,24
55826,0,0,0,1,1,2,0,1,1,39,1,0,0,3,1,3,0,2.44,1560,754,0,51
56937,0,0,0,1,1,0,0,1,1,4,0,0,0,0,1,3,0,2.43,1376,12177,1,44
1,0,0,0,1,1,3,0,1,1,27,1,0,0,2,0,3,0,2.52,2892,0,1,20
1112,0,0,0,1,1,2,4,1,1,32,1,0,0,0,0,1,0,2.02,2015,0,1,32
2223,0,0,0,1,1,0,0,1,1,32,0,0,0,0,0,2,1,2.19,1376,0,0,21
3334,0,0,0,1,1,3,0,0,2,8,1,0,0,0,1,1,0,2.52,2892,7918,0,52
4445,0,0,0,1,1,3,4,1,1,39,1,0,0,0,1,1,0,2.36,2892,17967,1,55
5556,0,0,0,1,1,0,3,0,1,32,1,0,0,2,1,1,0,2.36,2892,14527,1,27
6667,0,0,0,1,1,0,4,0,1,47,0,0,0,3,0,0,0,2.1,1376,0,0,18
7778,0,0,0,1,1,2,0,1,2,16,1,0,1,1,0,1,0,1.84,4082,0,1,26
8889,0,0,0,1,1,2,0,1,1,22,1,0,0,0,1,2,1,2.51,2015,7123,0,51
10000,0,0,0,1,1,3,0,0,1,8,0,0,0,3,1,2,1,2.42,1376,11544,0,54
11112,0,0,0,1,1,2,0,1,1,49,1,0,0,0,1,2,1,2.36,2015,4535,1,38
12223,0,0,0,1,1,0,0,1,1,13,1,0,0,0,1,2,1,2.41,2892,10806,0,46
13334,0,0,0,1,1,0,0,0,1,48,0,0,0,0,1,3,0,2.52,2594,6219,1,37
14445,0,0,0,1,1,0,4,1,1,28,0,0,0,2,0,1,0,2.06,3036,0,0,31
15556,0,0,0,1,1,2,0,0,1,8,1,0,0,0,1,2,1,2.33,3233,5550,0,54
16667,0,0,0,1,1,3,0,0,1,26,0,0,0,3,1,3,0,2.32,2594,6684,0,45
17778,0,0,0,1,1,3,0,0,1,8,1,0,0,3,0,2,1,2.21,1376,0,0,21
18889,0,0,0,1,1,2,0,1,1,7,1,0,1,1,1,3,0,2.53,3271,14581,1,45
